experiment,cycle,start_peak_temp_c,end_peak_temp_c,old_frequencies_mhz,new_frequencies_mhz,active_cores,predicted_core_temps_c,predicted_temp_errors_c,start_core_temps_c,end_core_temps_c,start_core_powers_w,end_core_powers_w,start_core_utilizations,end_core_utilizations,start_core_cpis,end_core_cpis,start_core_rel_nuca_cpis,end_core_rel_nuca_cpis,start_core_ips,end_core_ips,start_core_task_ids,end_core_task_ids,start_core_thread_ids,end_core_thread_ids
"parsec-blackscholes-simsmall-3",0,78.57,52.67,"4000;4000;4000;4000","1500;2500;2500;1000","1;0;0;0","nan;nan;nan;nan","nan;nan;nan;nan","47.95;78.57;47.93;48.08","52.67;48.72;48.79;46.97","0.4027583238;1.127061938;0.4027583238;0.4027583238","1.119104532;0.7811186458;0.7811186458;0.4027583553","0;0.4834951456;0;0","0.3688888889;0;0;0","704790.012;0.515;704790.012;704790.012","0.675;2500001.41;2500001.41;1000000.564","0;0;0;0","0;0;0;0","-1.418862332;-1941747.573;-1.418862332;-1.418862332","2222222222;999.999436;999.999436;999.999436","0;0;0;0","0;0;0;0","0;-1;-1;-1","0;-1;-1;-1"
"parsec-blackscholes-simsmall-3",1,52.67,62.14,"1500;2500;2500;1000","2500;2500;2000;2500","1;0;0;0","nan;nan;nan;nan","nan;nan;nan;nan","52.67;48.72;48.79;46.97","49.17;49.38;62.14;49.17","1.119104532;0.7811186458;0.7811186458;0.4027583553","0.7811186458;0.7811186458;1.996911852;0.7811186458","0.3688888889;0;0;0","0;0;0.3822629969;0","0.675;2500001.41;2500001.41;1000000.564","2500000;2500000;0.654;2500000","0;0;0;0","0;0;0;0","2222222222;999.999436;999.999436;999.999436","1000;1000;3058103976;1000","0;0;0;0","0;0;0;0","0;-1;-1;-1","-1;-1;0;-1"
"parsec-blackscholes-simsmall-3",2,62.14,65.44,"2500;2500;2000;2500","1500;2000;1000;2000","0;0;1;0","nan;nan;nan;nan","nan;nan;nan;nan","49.17;49.38;62.14;49.17","48.25;48.88;49.4;65.44","0.7811186458;0.7811186458;1.996911852;0.7811186458","0.5139870221;0.6399895837;0.4027583522;2.262211552","0;0;0.3822629969;0","0;0;0;0.3635036496","2500000;2500000;0.654;2500000","1500000;2000000;1000000;0.685","0;0;0;0","0;0;0;0","1000;1000;3058103976;1000","1000;1000;1000;2919708029","0;0;0;0","0;0;0;0","-1;-1;0;-1","-1;-1;-1;0"
"parsec-blackscholes-simsmall-3",3,65.44,52.87,"1500;2000;1000;2000","2500;2500;1000;1000","0;0;0;1","nan;nan;nan;nan","nan;nan;nan;nan","48.25;48.88;49.4;65.44","49.38;49.49;47.63;52.87","0.5139870221;0.6399895837;0.4027583522;2.262211552","0.7811186458;0.7811186458;0.4027583553;0.6166425687","0;0;0;0.3635036496","0;0;0;0.3667157585","1500000;2000000;1000000;0.685","2500025;2500025;1000010;0.679","0;0;0;0","0;0;0;0","1000;1000;1000;2919708029","999.9900001;999.9900001;999.9900001;1472754050","0;0;0;0","0;0;0;0","-1;-1;-1;0","-1;-1;-1;0"
"parsec-blackscholes-simsmall-3",4,52.87,77.17,"2500;2500;1000;1000","2000;2500;2000;2500","0;0;0;1","nan;nan;nan;nan","nan;nan;nan;nan","49.38;49.49;47.63;52.87","48.92;77.17;48.72;49.47","0.7811186458;0.7811186458;0.4027583553;0.6166425687","0.6399895934;3.334427074;0.6399895934;0.7811186458","0;0;0;0.3667157585","0;0.3819018405;0;0","2500025;2500025;1000010;0.679","2000005.6;0.652;2000005.6;2500007","0;0;0;0","0;0;0;0","999.9900001;999.9900001;999.9900001;1472754050","999.9972;3834355828;999.9972;999.9972","0;0;0;0","0;0;0;0","-1;-1;-1;0","-1;0;-1;-1"
"parsec-blackscholes-simsmall-3",5,77.17,55.1,"2000;2500;2000;2500","2000;2000;1500;1000","0;1;0;0","nan;nan;nan;nan","nan;nan;nan;nan","48.92;77.17;48.72;49.47","48.86;53.25;55.1;47.94","0.6399895934;3.334427074;0.6399895934;0.7811186458","0.6399895837;0.6399895837;1.276113532;0.4027583522","0;0.3819018405;0;0","0;0;0.3710879285;0","2000005.6;0.652;2000005.6;2500007","2000018.526;2000018.526;0.671;1000009.263","0;0;0;0","0;0;0;0","999.9972;3834355828;999.9972;999.9972","999.9907371;999.9907371;2235469449;999.9907371","0;0;0;0","0;0;0;0","-1;0;-1;-1","-1;-1;0;-1"
"parsec-blackscholes-simsmall-3",6,55.1,71.38,"2000;2000;1500;1000","2500;2000;3000;2500","0;0;1;0","nan;nan;nan;nan","nan;nan;nan;nan","48.86;53.25;55.1;47.94","49.52;48.93;50.31;71.38","0.6399895837;0.6399895837;1.276113532;0.4027583522","0.7811186556;0.6399895998;0.93846836;2.829309784","0;0;0.3710879285;0","0;0;0;0.3687315634","2000018.526;2000018.526;0.671;1000009.263","2500000;2000000;3000000;0.678","0;0;0;0","0;0;0;0","999.9907371;999.9907371;2235469449;999.9907371","1000;1000;1000;3687315634","0;0;0;0","0;0;0;0","-1;-1;0;-1","-1;-1;-1;0"
"parsec-blackscholes-simsmall-3",7,71.38,52.97,"2500;2000;3000;2500","1500;1000;2500;2000","0;0;0;1","nan;nan;nan;nan","nan;nan;nan;nan","49.52;48.93;50.31;71.38","52.97;47.78;49.93;51.98","0.7811186556;0.6399895998;0.93846836;2.829309784","1.124655621;0.4027583553;0.7811186458;0.6399895934","0;0;0;0.3687315634","0.3721973094;0;0;0","2500000;2000000;3000000;0.678","0.669;1000000.585;2500001.462;2000001.17","0;0;0;0","0;0;0;0","1000;1000;1000;3687315634","2242152466;999.999415;999.9994152;999.999415","0;0;0;0","0;0;0;0","-1;-1;-1;0","0;-1;-1;-1"
"parsec-blackscholes-simsmall-3",8,52.97,90.35,"1500;1000;2500;2000","3000;3000;3000;2500","1;0;0;0","nan;nan;nan;nan","nan;nan;nan;nan","52.97;47.78;49.93;51.98","50.2;90.35;50.64;49.74","1.124655621;0.4027583553;0.7811186458;0.6399895934","0.93846836;4.49588117;0.93846836;0.7811186556","0.3721973094;0;0;0","0;0.3744360902;0;0","0.669;1000000.585;2500001.462;2000001.17","3000000.624;0.665;3000000.624;2500000.52","0;0;0;0","0;0;0;0","2242152466;999.999415;999.9994152;999.999415","999.999792;4511278195;999.999792;999.999792","0;0;0;0","0;0;0;0","0;-1;-1;-1","-1;0;-1;-1"
"parsec-blackscholes-simsmall-3",9,90.35,56.64,"3000;3000;3000;2500","1000;1000;1000;1000","0;1;0;0","nan;nan;nan;nan","nan;nan;nan;nan","50.2;90.35;50.64;49.74","47.98;56.64;52.29;48.03","0.93846836;4.49588117;0.93846836;0.7811186556","0.4027583368;0.4027583368;0.9418377477;0.4027583368","0;0.3744360902;0;0","0;0;0.3694362018;0","3000000.624;0.665;3000000.624;2500000.52","1000024;1000024;0.674;1000024","0;0;0;0","0;0;0;0","999.999792;4511278195;999.999792;999.999792","999.9760006;999.9760006;1483679525;999.9760006","0;0;0;0","0;0;0;0","-1;0;-1;-1","-1;-1;0;-1"
"parsec-blackscholes-simsmall-3",10,56.64,91.6,"1000;1000;1000;1000","2000;2000;3000;2500","0;0;1;0","nan;nan;nan;nan","nan;nan;nan;nan","47.98;56.64;52.29;48.03","48.73;49.5;91.6;49.53","0.4027583368;0.4027583368;0.9418377477;0.4027583368","0.6399895998;0.6399895998;4.49892121;0.7811186556","0;0;0.3694362018;0","0;0;0.375;0","1000024;1000024;0.674;1000024","2000004.643;2000004.643;0.664;2500005.803","0;0;0;0","0;0;0;0","999.9760006;999.9760006;1483679525;999.9760006","999.9976785;999.9976785;4518072289;999.9976788","0;0;0;0","0;0;0;0","-1;-1;0;-1","-1;-1;0;-1"
"parsec-blackscholes-simsmall-3",11,91.6,60.23,"2000;2000;3000;2500","1000;1000;1000;1000","0;0;1;0","nan;nan;nan;nan","nan;nan;nan;nan","48.73;49.5;91.6;49.53","48.63;50.45;60.23;48.85","0.6399895998;0.6399895998;4.49892121;0.7811186556","0.6782530637;0.6848385307;0.6767475987;0.6842425967","0;0;0.375;0","0.1745810056;0.1784439686;0.1787508973;0.1781895937","2000004.643;2000004.643;0.664;2500005.803","1.432;1.401;1.393;1.403","0;0;0;0","0;0;0;0","999.9976785;999.9976785;4518072289;999.9976788","698324022.3;713775874.4;717875089.7;712758374.9","0;0;0;0","0;0;0;0","-1;-1;0;-1","1;2;0;3"
"parsec-blackscholes-simsmall-3",12,60.23,76.48,"1000;1000;1000;1000","2500;1500;2500;1500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","48.63;50.45;60.23;48.85","76.48;54.9;50.51;53.94","0.6782530637;0.6848385307;0.6767475987;0.6842425967","3.428456824;1.195732962;0.7811186458;1.185033365","0.1745810056;0.1784439686;0.1787508973;0.1781895937","0.3644314869;0.382848392;0;0.3770739065","1.432;1.401;1.393;1.403","0.686;0.653;2500000.005;0.663","0;0;0;0","0;0;0;0","698324022.3;713775874.4;717875089.7;712758374.9","3644314869;2297090352;999.999998;2262443439","0;0;0;0","0;0;0;0","1;2;0;3","1;2;0;3"
"parsec-blackscholes-simsmall-3",13,76.48,69.33,"2500;1500;2500;1500","2000;2000;2500;1500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","76.48;54.9;50.51;53.94","69.33;65.04;49.87;55.28","3.428456824;1.195732962;0.7811186458;1.185033365","2.053127212;2.123164482;0.7811186458;1.187943584","0.3644314869;0.382848392;0;0.3770739065","0.365497076;0.3834355828;0;0.3787878788","0.686;0.653;2500000.005;0.663","0.684;0.652;2500019.172;0.66","0;0;0;0","0;0;0;0","3644314869;2297090352;999.999998;2262443439","2923976608;3067484663;999.9923313;2272727273","0;0;0;0","0;0;0;0","1;2;0;3","1;2;0;3"
