experiment,cycle,start_peak_temp_c,end_peak_temp_c,old_frequencies_mhz,new_frequencies_mhz,active_cores,predicted_core_temps_c,predicted_temp_errors_c,start_core_temps_c,end_core_temps_c,start_core_powers_w,end_core_powers_w,start_core_utilizations,end_core_utilizations,start_core_cpis,end_core_cpis,start_core_rel_nuca_cpis,end_core_rel_nuca_cpis,start_core_ips,end_core_ips,start_core_task_ids,end_core_task_ids,start_core_thread_ids,end_core_thread_ids
"parsec-streamcluster-simsmall-3",0,57.12,57.12,"4000;4000;4000;4000","2000;1000;1000;1000","1;0;0;0","nan;nan;nan;nan","nan;nan;nan;nan","51.98;54.27;55.7;57.12","51.98;54.27;55.7;57.12","0.4027635223;0.4027635223;1.988338102;0.4027635223","0.4027635223;0.4027635223;1.988338102;0.4027635223","0;0;0.29342723;0","0;0;0.29342723;0","18314.5;18314.5;0.852;18314.5","18314.5;18314.5;0.852;18314.5","0;0;0;0","0;0;0;0","-54.60154522;-54.60154522;-1173708.92;-54.60154522","109203.0904;54.60154522;1173708.92;54.60154522","0;0;0;0","0;0;0;0","0;-1;-1;-1","0;-1;-1;-1"
"parsec-streamcluster-simsmall-3",1,57.12,57.12,"2000;1000;1000;1000","2000;1000;1000;1000","1;0;0;0","nan;nan;nan;nan","nan;nan;nan;nan","51.98;54.27;55.7;57.12","51.98;54.27;55.7;57.12","0.4027635223;0.4027635223;1.988338102;0.4027635223","0.4027635223;0.4027635223;1.988338102;0.4027635223","0;0;0.29342723;0","0;0;0.29342723;0","18314.5;18314.5;0.852;18314.5","18314.5;18314.5;0.852;18314.5","0;0;0;0","0;0;0;0","109203.0904;54.60154522;1173708.92;54.60154522","109203.0904;54.60154522;1173708.92;54.60154522","0;0;0;0","0;0;0;0","0;-1;-1;-1","0;-1;-1;-1"
"parsec-streamcluster-simsmall-3",2,57.12,57.12,"2000;1000;1000;1000","2000;1000;1000;1000","1;0;0;0","nan;nan;nan;nan","nan;nan;nan;nan","51.98;54.27;55.7;57.12","51.98;54.27;55.7;57.12","0.4027635223;0.4027635223;1.988338102;0.4027635223","0.4027635223;0.4027635223;1.988338102;0.4027635223","0;0;0.29342723;0","0;0;0.29342723;0","18314.5;18314.5;0.852;18314.5","18314.5;18314.5;0.852;18314.5","0;0;0;0","0;0;0;0","109203.0904;54.60154522;1173708.92;54.60154522","109203.0904;54.60154522;1173708.92;54.60154522","0;0;0;0","0;0;0;0","0;-1;-1;-1","0;-1;-1;-1"
"parsec-streamcluster-simsmall-3",3,57.12,57.12,"2000;1000;1000;1000","2000;1000;1000;1000","1;0;0;0","nan;nan;nan;nan","nan;nan;nan;nan","51.98;54.27;55.7;57.12","51.98;54.27;55.7;57.12","0.4027635223;0.4027635223;1.988338102;0.4027635223","0.4027635223;0.4027635223;1.988338102;0.4027635223","0;0;0.29342723;0","0;0;0.29342723;0","18314.5;18314.5;0.852;18314.5","18314.5;18314.5;0.852;18314.5","0;0;0;0","0;0;0;0","109203.0904;54.60154522;1173708.92;54.60154522","109203.0904;54.60154522;1173708.92;54.60154522","0;0;0;0","0;0;0;0","0;-1;-1;-1","0;-1;-1;-1"
"parsec-streamcluster-simsmall-3",4,57.12,57.12,"2000;1000;1000;1000","2000;1000;1000;1000","1;0;0;0","nan;nan;nan;nan","nan;nan;nan;nan","51.98;54.27;55.7;57.12","51.98;54.27;55.7;57.12","0.4027635223;0.4027635223;1.988338102;0.4027635223","0.4027635223;0.4027635223;1.988338102;0.4027635223","0;0;0.29342723;0","0;0;0.29342723;0","18314.5;18314.5;0.852;18314.5","18314.5;18314.5;0.852;18314.5","0;0;0;0","0;0;0;0","109203.0904;54.60154522;1173708.92;54.60154522","109203.0904;54.60154522;1173708.92;54.60154522","0;0;0;0","0;0;0;0","0;-1;-1;-1","0;-1;-1;-1"
"parsec-streamcluster-simsmall-3",5,57.12,57.12,"2000;1000;1000;1000","2000;1000;1000;1000","1;0;0;0","nan;nan;nan;nan","nan;nan;nan;nan","51.98;54.27;55.7;57.12","51.98;54.27;55.7;57.12","0.4027635223;0.4027635223;1.988338102;0.4027635223","0.4027635223;0.4027635223;1.988338102;0.4027635223","0;0;0.29342723;0","0;0;0.29342723;0","18314.5;18314.5;0.852;18314.5","18314.5;18314.5;0.852;18314.5","0;0;0;0","0;0;0;0","109203.0904;54.60154522;1173708.92;54.60154522","109203.0904;54.60154522;1173708.92;54.60154522","0;0;0;0","0;0;0;0","0;-1;-1;-1","0;-1;-1;-1"
"parsec-streamcluster-simsmall-3",6,57.12,57.12,"2000;1000;1000;1000","2000;1000;1000;1000","1;0;0;0","nan;nan;nan;nan","nan;nan;nan;nan","51.98;54.27;55.7;57.12","51.98;54.27;55.7;57.12","0.4027635223;0.4027635223;1.988338102;0.4027635223","0.4027635223;0.4027635223;1.988338102;0.4027635223","0;0;0.29342723;0","0;0;0.29342723;0","18314.5;18314.5;0.852;18314.5","18314.5;18314.5;0.852;18314.5","0;0;0;0","0;0;0;0","109203.0904;54.60154522;1173708.92;54.60154522","109203.0904;54.60154522;1173708.92;54.60154522","0;0;0;0","0;0;0;0","0;-1;-1;-1","0;-1;-1;-1"
"parsec-streamcluster-simsmall-3",7,57.12,57.12,"2000;1000;1000;1000","2000;1000;1000;1000","1;0;0;0","nan;nan;nan;nan","nan;nan;nan;nan","51.98;54.27;55.7;57.12","51.98;54.27;55.7;57.12","0.4027635223;0.4027635223;1.988338102;0.4027635223","0.4027635223;0.4027635223;1.988338102;0.4027635223","0;0;0.29342723;0","0;0;0.29342723;0","18314.5;18314.5;0.852;18314.5","18314.5;18314.5;0.852;18314.5","0;0;0;0","0;0;0;0","109203.0904;54.60154522;1173708.92;54.60154522","109203.0904;54.60154522;1173708.92;54.60154522","0;0;0;0","0;0;0;0","0;-1;-1;-1","0;-1;-1;-1"
"parsec-streamcluster-simsmall-3",8,57.12,57.12,"2000;1000;1000;1000","2000;1000;1000;1000","1;0;0;0","nan;nan;nan;nan","nan;nan;nan;nan","51.98;54.27;55.7;57.12","51.98;54.27;55.7;57.12","0.4027635223;0.4027635223;1.988338102;0.4027635223","0.4027635223;0.4027635223;1.988338102;0.4027635223","0;0;0.29342723;0","0;0;0.29342723;0","18314.5;18314.5;0.852;18314.5","18314.5;18314.5;0.852;18314.5","0;0;0;0","0;0;0;0","109203.0904;54.60154522;1173708.92;54.60154522","109203.0904;54.60154522;1173708.92;54.60154522","0;0;0;0","0;0;0;0","0;-1;-1;-1","0;-1;-1;-1"
"parsec-streamcluster-simsmall-3",9,57.12,57.12,"2000;1000;1000;1000","2000;1000;1000;1000","1;0;0;0","nan;nan;nan;nan","nan;nan;nan;nan","51.98;54.27;55.7;57.12","51.98;54.27;55.7;57.12","0.4027635223;0.4027635223;1.988338102;0.4027635223","0.4027635223;0.4027635223;1.988338102;0.4027635223","0;0;0.29342723;0","0;0;0.29342723;0","18314.5;18314.5;0.852;18314.5","18314.5;18314.5;0.852;18314.5","0;0;0;0","0;0;0;0","109203.0904;54.60154522;1173708.92;54.60154522","109203.0904;54.60154522;1173708.92;54.60154522","0;0;0;0","0;0;0;0","0;-1;-1;-1","0;-1;-1;-1"
"parsec-streamcluster-simsmall-3",10,57.12,57.12,"2000;1000;1000;1000","2000;1000;1000;1000","1;0;0;0","nan;nan;nan;nan","nan;nan;nan;nan","51.98;54.27;55.7;57.12","51.98;54.27;55.7;57.12","0.4027635223;0.4027635223;1.988338102;0.4027635223","0.4027635223;0.4027635223;1.988338102;0.4027635223","0;0;0.29342723;0","0;0;0.29342723;0","18314.5;18314.5;0.852;18314.5","18314.5;18314.5;0.852;18314.5","0;0;0;0","0;0;0;0","109203.0904;54.60154522;1173708.92;54.60154522","109203.0904;54.60154522;1173708.92;54.60154522","0;0;0;0","0;0;0;0","0;-1;-1;-1","0;-1;-1;-1"
