experiment,cycle,start_peak_temp_c,end_peak_temp_c,old_frequencies_mhz,new_frequencies_mhz,active_cores,predicted_core_temps_c,predicted_temp_errors_c,start_core_temps_c,end_core_temps_c,start_core_powers_w,end_core_powers_w,start_core_utilizations,end_core_utilizations,start_core_cpis,end_core_cpis,start_core_rel_nuca_cpis,end_core_rel_nuca_cpis,start_core_ips,end_core_ips,start_core_task_ids,end_core_task_ids,start_core_thread_ids,end_core_thread_ids
"parsec-streamcluster-simsmall-3",0,80.83,73.97,"4000;4000;4000;4000","1500;2500;2500;1000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","72.45;51.38;64.45;80.83","47.46;73.91;73.97;47.94","3.105619894;0.7612299175;2.168527662;3.688551374","0.513987028;3.420001494;3.422744554;0.6755148447","0.2979737783;0.127420999;0.3644314869;0.3731343284","0;0.3457814661;0.346740638;0.3918495298","0.839;1.962;0.686;0.67","1500000.6;0.723;0.721;0.638","0;0;0;0","0;0;0;0","-1191895.113;-509683.9959;-1457725.948;-1492537.313","999.9996;3457814661;3467406380;1567398119","0;0;0;0","0;0;0;0","0;1;2;3","0;1;2;3"
"parsec-streamcluster-simsmall-3",1,73.97,71.45,"1500;2500;2500;1000","2000;2000;1000;1500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","47.46;73.91;73.97;47.94","62.7;71.45;52.32;55.45","0.513987028;3.420001494;3.422744554;0.6755148447","2.288906452;2.435471672;0.4027583522;1.426593191","0;0.3457814661;0.346740638;0.3918495298","0.3147914033;0.3453038674;0;0.3770739065","1500000.6;0.723;0.721;0.638","0.791;0.724;1000050.178;0.663","0;0;0;0","0;0;0;0","999.9996;3457814661;3467406380;1567398119","2528445006;2762430939;999.9498245;2262443439","0;0;0;0","0;0;0;0","0;1;2;3","1;2;0;3"
"parsec-streamcluster-simsmall-3",2,71.45,69.95,"2000;2000;1000;1500","1500;2000;1000;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","62.7;71.45;52.32;55.45","58.67;69.95;51.28;48.84","2.288906452;2.435471672;0.4027583522;1.426593191","1.365872831;2.250470302;0.7410911427;0.6399895837","0.3147914033;0.3453038674;0;0.3770739065","0.3581661891;0.314861461;0.3924646782;0","0.791;0.724;1000050.178;0.663","0.698;0.794;0.637;2000116.715","0;0;0;0","0;0;0;0","2528445006;2762430939;999.9498245;2262443439","2148997135;2518891688;1569858713;999.9416459","0;0;0;0","0;0;0;0","1;2;0;3","2;1;3;0"
"parsec-streamcluster-simsmall-3",3,69.95,79.98,"1500;2000;1000;2000","2500;2500;1000;1000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","58.67;69.95;51.28;48.84","78.2;79.98;50.17;47.8","1.365872831;2.250470302;0.7410911427;0.6399895837","3.442560654;3.296274014;0.6808544597;0.4027583553","0.3581661891;0.314861461;0.3924646782;0","0.350140056;0.3306878307;0.4032258065;0","0.698;0.794;0.637;2000116.715","0.714;0.756;0.62;1000037.439","0;0;0;0","0;0;0;0","2148997135;2518891688;1569858713;999.9416459","3501400560;3306878307;1612903226;999.9625624","0;0;0;0","0;0;0;0","2;1;3;0","2;1;3;0"
"parsec-streamcluster-simsmall-3",4,79.98,64.55,"2500;2500;1000;1000","1000;2000;1500;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","78.2;79.98;50.17;47.8","57.57;55.12;55.56;64.55","3.442560654;3.296274014;0.6808544597;0.4027583553","0.7428515257;0.6399895837;1.325974101;2.377384112","0.350140056;0.3306878307;0.4032258065;0","0.3949447077;0;0.3410641201;0.3410641201","0.714;0.756;0.62;1000037.439","0.633;2000000.262;0.733;0.733","0;0;0;0","0;0;0;0","3501400560;3306878307;1612903226;999.9625624","1579778831;999.999869;2046384720;2728512960","0;0;0;0","0;0;0;0","2;1;3;0","3;0;1;2"
"parsec-streamcluster-simsmall-3",5,64.55,69.14,"1000;2000;1500;2000","2000;2000;1500;1000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","57.57;55.12;55.56;64.55","69.14;67.4;48.32;53.79","0.7428515257;0.6399895837;1.325974101;2.377384112","2.448877712;2.318161442;0.5139870221;0.7513806527","0.3949447077;0;0.3410641201;0.3410641201","0.3546099291;0.3285151117;0;0.4045307443","0.633;2000000.262;0.733;0.733","0.705;0.761;1500051;0.618","0;0;0;0","0;0;0;0","1579778831;999.999869;2046384720;2728512960","2836879433;2628120894;999.9660012;1618122977","0;0;0;0","0;0;0;0","3;0;1;2","2;1;0;3"
"parsec-streamcluster-simsmall-3",6,69.14,75.57,"2000;2000;1500;1000","1500;1000;2500;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","69.14;67.4;48.32;53.79","59.61;54.34;75.57;48.87","2.448877712;2.318161442;0.5139870221;0.7513806527","1.213454012;0.6536986537;3.431638604;0.6399895934","0.3546099291;0.3285151117;0;0.4045307443","0.3687315634;0.3619186047;0.350140056;0","0.705;0.761;1500051;0.618","0.678;0.688;0.714;2000000.398","0;0;0;0","0;0;0;0","2836879433;2628120894;999.9660012;1618122977","2212389381;1453488372;3501400560;999.999801","0;0;0;0","0;0;0;0","2;1;0;3","2;1;3;0"
"parsec-streamcluster-simsmall-3",7,75.57,82.46,"1500;1000;2500;2000","1500;1000;2500;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","59.61;54.34;75.57;48.87","49.95;51.62;82.46;62.92","1.213454012;0.6536986537;3.431638604;0.6399895934","0.513987028;0.6939534747;3.463107014;2.156057012","0.3687315634;0.3619186047;0.350140056;0","0;0.4215851602;0.3531073446;0.3714710253","0.678;0.688;0.714;2000000.398","1500000.695;0.593;0.708;0.673","0;0;0;0","0;0;0;0","2212389381;1453488372;3501400560;999.999801","999.9995367;1686340641;3531073446;2971768202","0;0;0;0","0;0;0;0","2;1;3;0","0;2;1;3"
"parsec-streamcluster-simsmall-3",8,82.46,86.48,"1500;1000;2500;2000","2500;2500;2500;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","49.95;51.62;82.46;62.92","78.29;49.41;86.48;67.21","0.513987028;0.6939534747;3.463107014;2.156057012","3.685508844;0.7811186458;3.688827424;2.281582202","0;0.4215851602;0.3531073446;0.3714710253","0.3720238095;0;0.3725782414;0.3894080997","1500000.695;0.593;0.708;0.673","0.672;2500000.408;0.671;0.642","0;0;0;0","0;0;0;0","999.9995367;1686340641;3531073446;2971768202","3720238095;999.9998368;3725782414;3115264798","0;0;0;0","0;0;0;0","0;2;1;3","3;0;2;1"
"parsec-streamcluster-simsmall-3",9,86.48,66.25,"2500;2500;2500;2000","1000;2000;1000;1500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","78.29;49.41;86.48;67.21","57.8;66.25;56.96;60.81","3.685508844;0.7811186458;3.688827424;2.281582202","0.7615667877;2.459737122;0.4027583522;1.397423122","0.3720238095;0;0.3725782414;0.3894080997","0.4173622705;0.3576537911;0;0.3720238095","0.672;2500000.408;0.671;0.642","0.599;0.699;1000000.311;0.672","0;0;0;0","0;0;0;0","3720238095;999.9998368;3725782414;3115264798","1669449082;2861230329;999.999689;2232142857","0;0;0;0","0;0;0;0","3;0;2;1","3;2;0;1"
