experiment,cycle,start_peak_temp_c,end_peak_temp_c,old_frequencies_mhz,new_frequencies_mhz,active_cores,predicted_core_temps_c,predicted_temp_errors_c,start_core_temps_c,end_core_temps_c,start_core_powers_w,end_core_powers_w,start_core_utilizations,end_core_utilizations,start_core_cpis,end_core_cpis,start_core_rel_nuca_cpis,end_core_rel_nuca_cpis,start_core_ips,end_core_ips,start_core_task_ids,end_core_task_ids,start_core_thread_ids,end_core_thread_ids
"parsec-streamcluster-simsmall-3",0,68.61,67.45,"4000;4000;4000;4000","1500;2500;2500;1000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","68.61;62.25;67.97;64.95","51.76;59.09;67.45;47.27","0.9157184447;1.696444452;0.8625107297;0.8362399045","1.138135962;2.062374404;2.832788984;0.6109019087","0.3960573477;0.323838081;0.3219512195;0.1148919135","0.3250975293;0.1667778519;0.2679528403;0.2986857826","0.558;0.667;0.615;2.498","0.769;1.499;0.933;0.837","0;0;0;0","0;0;0;0","-1792114.695;-1499250.375;-1626016.26;-400320.2562","1950585176;1667778519;2679528403;1194743130","0;0;0;0","0;0;0;0","1;0;2;3","3;2;1;0"
"parsec-streamcluster-simsmall-3",1,67.45,78.35,"1500;2500;2500;1000","1000;1000;2500;1500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","51.76;59.09;67.45;47.27","48.13;50.04;78.35;53.05","1.138135962;2.062374404;2.832788984;0.6109019087","0.5294296037;0.5384706347;3.298873054;1.199813391","0.3250975293;0.1667778519;0.2679528403;0.2986857826","0.1836884644;0.1965408805;0.3320053121;0.3612716763","0.769;1.499;0.933;0.837","1.361;1.272;0.753;0.692","0;0;0;0","0;0;0;0","1950585176;1667778519;2679528403;1194743130","734753857.5;786163522;3320053121;2167630058","0;0;0;0","0;0;0;0","3;2;1;0","1;0;3;2"
"parsec-streamcluster-simsmall-3",2,78.35,74.33,"1000;1000;2500;1500","2000;1000;2500;1500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","48.13;50.04;78.35;53.05","53.61;49.3;74.33;53.34","0.5294296037;0.5384706347;3.298873054;1.199813391","1.328234242;0.6462882537;2.626254024;1.089825942","0.1836884644;0.1965408805;0.3320053121;0.3612716763","0.1680107527;0.3521126761;0.2431906615;0.3008423586","1.361;1.272;0.753;0.692","1.488;0.71;1.028;0.831","0;0;0;0","0;0;0;0","734753857.5;786163522;3320053121;2167630058","1344086022;1408450704;2431906615;1805054152","0;0;0;0","0;0;0;0","1;0;3;2","0;2;3;1"
"parsec-streamcluster-simsmall-3",3,74.33,71.46,"2000;1000;2500;1500","1500;2500;1000;1000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","53.61;49.3;74.33;53.34","51.57;71.46;56.42;48.81","1.328234242;0.6462882537;2.626254024;1.089825942","0.8962397165;3.049022554;0.6695009147;0.5320213787","0.1680107527;0.3521126761;0.2431906615;0.3008423586","0.2004811548;0.2994011976;0.3881987578;0.1879699248","1.488;0.71;1.028;0.831","1.247;0.835;0.644;1.33","0;0;0;0","0;0;0;0","1344086022;1408450704;2431906615;1805054152","1202886929;2994011976;1552795031;751879699.2","0;0;0;0","0;0;0;0","0;2;3;1","1;3;2;0"
"parsec-streamcluster-simsmall-3",4,71.46,66.23,"1500;2500;1000;1000","2000;1000;2000;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","51.57;71.46;56.42;48.81","66.23;55.47;58.39;56.27","0.8962397165;3.049022554;0.6695009147;0.5320213787","2.399815902;0.7376952457;1.469405852;1.539015032","0.2004811548;0.2994011976;0.3881987578;0.1879699248","0.3448275862;0.3881987578;0.1622323167;0.1766784452","1.247;0.835;0.644;1.33","0.725;0.644;1.541;1.415","0;0;0;0","0;0;0;0","1202886929;2994011976;1552795031;751879699.2","2758620690;1552795031;1297858533;1413427562","0;0;0;0","0;0;0;0","1;3;2;0","2;1;0;3"
"parsec-streamcluster-simsmall-3",5,66.23,77.98,"2000;1000;2000;2000","2500;2500;2000;1000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","66.23;55.47;58.39;56.27","77.98;65.93;60.66;50.22","2.399815902;0.7376952457;1.469405852;1.539015032","3.287035874;2.378523764;1.682246432;0.5954050637","0.3448275862;0.3881987578;0.1622323167;0.1766784452","0.3267973856;0.2074688797;0.2522704339;0.2790178571","0.725;0.644;1.541;1.415","0.765;1.205;0.991;0.896","0;0;0;0","0;0;0;0","2758620690;1552795031;1297858533;1413427562","3267973856;2074688797;2018163471;1116071429","0;0;0;0","0;0;0;0","2;1;0;3","3;2;0;1"
"parsec-streamcluster-simsmall-3",6,77.98,79.61,"2500;2500;2000;1000","1500;2500;1500;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","77.98;65.93;60.66;50.22","60.39;79.61;52.27;60.53","3.287035874;2.378523764;1.682246432;0.5954050637","1.110340441;3.424857914;0.7383517685;1.918861592","0.3267973856;0.2074688797;0.2522704339;0.2790178571","0.3078817734;0.3434065934;0.1159554731;0.307503075","0.765;1.205;0.991;0.896","0.812;0.728;2.156;0.813","0;0;0;0","0;0;0;0","3267973856;2074688797;2018163471;1116071429","1847290640;3434065934;695732838.6;2460024600","0;0;0;0","0;0;0;0","3;2;0;1","1;3;0;2"
"parsec-streamcluster-simsmall-3",7,79.61,71.32,"1500;2500;1500;2000","2500;2000;1000;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","60.39;79.61;52.27;60.53","71.32;68.16;49.31;65.89","1.110340441;3.424857914;0.7383517685;1.918861592","2.734060254;1.902622772;0.5461438077;2.183534732","0.3078817734;0.3434065934;0.1159554731;0.307503075","0.2525252525;0.304136253;0.207641196;0.3725782414","0.812;0.728;2.156;0.813","0.99;0.822;1.204;0.671","0;0;0;0","0;0;0;0","1847290640;3434065934;695732838.6;2460024600","2525252525;2433090024;830564784.1;2980625931","0;0;0;0","0;0;0;0","1;3;0;2","3;2;0;1"
"parsec-streamcluster-simsmall-3",8,71.32,69.45,"2500;2000;1000;2000","1500;2000;2000;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","71.32;68.16;49.31;65.89","58.79;66.84;63.51;69.45","2.734060254;1.902622772;0.5461438077;2.183534732","1.087998931;2.006207022;2.203101362;2.380372792","0.2525252525;0.304136253;0.207641196;0.3725782414","0.2369668246;0.2623294858;0.300120048;0.3342245989","0.99;0.822;1.204;0.671","1.055;0.953;0.833;0.748","0;0;0;0","0;0;0;0","2525252525;2433090024;830564784.1;2980625931","1421800948;2098635887;2400960384;2673796791","0;0;0;0","0;0;0;0","3;2;0;1","0;1;3;2"
"parsec-streamcluster-simsmall-3",9,69.45,72.34,"1500;2000;2000;2000","1000;1500;1500;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","58.79;66.84;63.51;69.45","50.58;59.84;60.16;72.34","1.087998931;2.006207022;2.203101362;2.380372792","0.4747553327;1.269032912;1.455124012;2.526233982","0.2369668246;0.2623294858;0.300120048;0.3342245989","0.08378016086;0.3125;0.3912363067;0.3660322108","1.055;0.953;0.833;0.748","2.984;0.8;0.639;0.683","0;0;0;0","0;0;0;0","1421800948;2098635887;2400960384;2673796791","335120643.4;1875000000;2347417840;2928257687","0;0;0;0","0;0;0;0","0;1;3;2","3;0;1;2"
"parsec-streamcluster-simsmall-3",10,72.34,79.76,"1000;1500;1500;2000","1500;1500;2500;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","50.58;59.84;60.16;72.34","55.73;55.06;79.76;59.8","0.4747553327;1.269032912;1.455124012;2.526233982","1.291792822;0.9862909915;3.560853694;1.267986752","0.08378016086;0.3125;0.3912363067;0.3660322108","0.4019292605;0.244140625;0.3612716763;0.1516070346","2.984;0.8;0.639;0.683","0.622;1.024;0.692;1.649","0;0;0;0","0;0;0;0","335120643.4;1875000000;2347417840;2928257687","2411575563;1464843750;3612716763;1212856277","0;0;0;0","0;0;0;0","3;0;1;2","2;1;3;0"
"parsec-streamcluster-simsmall-3",11,79.76,76.09,"1500;1500;2500;2000","2500;2000;2500;1500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","55.73;55.06;79.76;59.8","69.75;60.47;76.09;57.57","1.291792822;0.9862909915;3.560853694;1.267986752","2.749141164;1.745152332;2.772197284;1.225824761","0.4019292605;0.244140625;0.3612716763;0.1516070346","0.254841998;0.265674814;0.2577319588;0.366568915","0.622;1.024;0.692;1.649","0.981;0.941;0.97;0.682","0;0;0;0","0;0;0;0","2411575563;1464843750;3612716763;1212856277","2548419980;2125398512;2577319588;2199413490","0;0;0;0","0;0;0;0","2;1;3;0","0;2;3;1"
"parsec-streamcluster-simsmall-3",12,76.09,66.97,"2500;2000;2500;1500","2500;1500;1500;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","69.75;60.47;76.09;57.57","66.97;57.91;59.99;62.24","2.749141164;1.745152332;2.772197284;1.225824761","2.163894534;1.285242942;1.056055819;1.848683422","0.254841998;0.265674814;0.2577319588;0.366568915","0.1793400287;0.3987240829;0.2812148481;0.2917152859","0.981;0.941;0.97;0.682","1.394;0.627;0.889;0.857","0;0;0;0","0;0;0;0","2548419980;2125398512;2577319588;2199413490","1793400287;2392344498;1687289089;2333722287","0;0;0;0","0;0;0;0","0;2;3;1","0;2;3;1"
"parsec-streamcluster-simsmall-3",13,66.97,66.94,"2500;1500;1500;2000","1500;2500;2000;1000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","66.97;57.91;59.99;62.24","56.4;64.05;66.94;53.06","2.163894534;1.285242942;1.056055819;1.848683422","0.9565973925;2.134832424;2.162784592;0.6695079247","0.1793400287;0.3987240829;0.2812148481;0.2917152859","0.2319109462;0.1775568182;0.3725782414;0.3863987635","1.394;0.627;0.889;0.857","1.078;1.408;0.671;0.647","0;0;0;0","0;0;0;0","1793400287;2392344498;1687289089;2333722287","1391465677;1775568182;2980625931;1545595054","0;0;0;0","0;0;0;0","0;2;3;1","1;0;3;2"
