name	state	ips	cpi	temp	power
blackscholes-simsmall-2	1.00	1.46	0.66	53.03	0.85
blackscholes-simsmall-2	1.50	2.21	0.66	59.53	1.35
blackscholes-simsmall-2	2.00	2.85	0.66	68.20	2.00
blackscholes-simsmall-2	2.50	3.55	0.66	79.34	2.81
blackscholes-simsmall-2	3.00	4.28	0.66	93.27	3.81
blackscholes-simsmall-2	3.50	4.98	0.66	110.66	5.04
blackscholes-simsmall-2	4.00	5.59	0.66	132.68	6.59
blackscholes-simsmall-1	1.00	1.49	0.66	53.92	0.92
blackscholes-simsmall-3	1.00	1.46	0.66	52.45	0.80
blackscholes-simsmall-1	1.50	2.24	0.66	61.39	1.48
blackscholes-simsmall-3	1.50	2.16	0.67	58.17	1.25
blackscholes-simsmall-1	2.00	2.94	0.66	71.49	2.22
blackscholes-simsmall-3	2.00	2.79	0.66	65.85	1.84
blackscholes-simsmall-1	2.50	3.65	0.66	84.55	3.15
blackscholes-simsmall-3	2.50	3.46	0.66	75.70	2.57
blackscholes-simsmall-1	3.00	4.41	0.66	100.98	4.30
blackscholes-simsmall-3	3.00	4.08	0.67	87.90	3.47
blackscholes-simsmall-1	3.50	5.07	0.66	119.94	5.62
blackscholes-simsmall-3	3.50	4.72	0.66	104.13	4.63
blackscholes-simsmall-1	4.00	5.82	0.66	144.37	7.29
blackscholes-simsmall-3	4.00	5.26	0.66	121.84	5.90
streamcluster-simsmall-1	1.00	1.87	0.54	57.28	1.23
streamcluster-simsmall-1	1.50	2.80	0.54	67.95	2.07
streamcluster-simsmall-1	2.00	3.73	0.54	82.38	3.17
streamcluster-simsmall-1	2.50	4.66	0.54	100.96	4.57
streamcluster-simsmall-1	3.00	5.60	0.54	124.50	6.34
streamcluster-simsmall-1	3.50	6.51	0.54	153.22	8.44
streamcluster-simsmall-1	4.00	7.47	0.54	187.78	11.01
streamcluster-simsmall-3	1.00	1.51	0.66	54.96	1.05
streamcluster-simsmall-3	1.50	2.25	0.67	63.46	1.72
