run_id,governor,benchmark_type,tasks,avg_response_time_ms,temp_C0,temp_C1,temp_C2,temp_C3,avg_temp,power_C0_W,power_C1_W,power_C2_W,power_C3_W,total_power_W,energy_C0_J,energy_C1_J,energy_C2_J,energy_C3_J,total_energy_J,cpi_C0,cpi_C1,cpi_C2,cpi_C3,avg_cpi,ips_C0_GIPS,ips_C1_GIPS,ips_C2_GIPS,ips_C3_GIPS,avg_ips_GIPS,total_ips_GIPS
1,GreedyMaxIPS,single-program,parsec-blackscholes-simsmall-2,56.645861,62.6,62.27,61.65,61.46,58.63,1.62,1.58,1.53,1.53,6.49,0.09,0.09,0.09,0.09,0.37,0.67,0.67,0.66,0.66,0.665,1.51,1.45,1.39,1.37,1.43,5.72
2,GreedyMaxIPS,single-program,parsec-streamcluster-simsmall-2-blackmodel,261.439268,65.61,65.62,65.37,65.42,61.45,1.92,1.93,1.9,1.91,7.91,0.5,0.5,0.5,0.5,2.07,0.67,0.66,0.67,0.66,0.665,1.76,1.77,1.74,1.76,1.76,7.03
3,GreedyMaxIPS,multi-program,"parsec-blackscholes-simsmall-1,parsec-blackscholes-simsmall-1",104.953661,62.62,62.57,62.35,62.45,59.04,1.61,1.6,1.57,1.59,6.6,0.17,0.17,0.17,0.17,0.69,0.67,0.67,0.66,0.67,0.6675,1.39,1.39,1.34,1.34,1.36,5.46
4,GreedyMaxIPS,single-program,parsec-streamcluster-simsmall-2,273.710921,65.89,65.75,65.97,65.89,61.75,1.93,1.92,1.94,1.94,7.97,0.53,0.53,0.53,0.53,2.18,0.66,0.65,0.66,0.66,0.6575000000000001,1.66,1.65,1.66,1.65,1.65,6.62
5,GreedyMaxIPS,multi-program,"parsec-blackscholes-simsmall-1,parsec-streamcluster-simsmall-1",397.812447,58.45,58.57,58.42,58.44,55.82,1.35,1.36,1.35,1.35,5.65,0.54,0.54,0.54,0.54,2.25,0.6,0.59,0.57,0.58,0.585,1.1,1.12,1.1,1.11,1.11,4.43
6,DynThreadMapping,multi-program,"parsec-blackscholes-simsmall-1,parsec-blackscholes-simsmall-1-bruteforce",94.027621,63.17,63.07,63.46,63.12,59.6,1.77,1.76,1.77,1.75,7.28,0.17,0.17,0.17,0.16,0.68,0.67,0.66,0.67,0.67,0.6675,1.72,1.71,1.78,1.68,1.72,6.89
7,DynThreadMapping,multi-program,"parsec-blackscholes-simsmall-1,parsec-streamcluster-simsmall-1-bruteforce",380.453417,56.37,56.64,56.37,56.4,54.2,1.31,1.33,1.31,1.32,5.51,0.5,0.51,0.5,0.5,2.09,0.61,0.59,0.66,0.59,0.6124999999999999,1.2,1.23,1.19,1.17,1.2,4.79
8,DynThreadMapping,single-program,parsec-blackscholes-simsmall-2-bruteforce,55.983599,60.46,59.98,59.68,58.82,56.82,1.52,1.48,1.43,1.37,6.03,0.09,0.08,0.08,0.08,0.34,0.67,0.65,0.65,0.65,0.655,1.47,1.55,1.5,1.26,1.44,5.78
9,DynThreadMapping,single-program,parsec-streamcluster-simsmall-2-bruteforce,245.231786,65.48,65.71,65.48,65.27,61.44,1.94,1.96,1.94,1.93,8.02,0.48,0.48,0.48,0.47,1.97,0.66,0.68,0.64,0.67,0.6625,1.87,1.92,1.86,1.85,1.88,7.5
10,SOTA,single-program,parsec-blackscholes-simsmall-2-sota,61.914087,55.21,67.89,66.22,47.43,56.38,1.08,1.95,1.84,0.4,5.52,0.07,0.12,0.11,0.02,0.34,0.64,0.68,0.67,0.0,0.49750000000000005,0.81,2.22,2.2,0.0,1.31,5.23
11,SOTA,single-program,parsec-streamcluster-simsmall-2-sota,298.190125,48.68,67.2,62.57,66.54,58.04,0.61,2.02,1.64,1.95,6.47,0.18,0.6,0.49,0.58,1.93,0.92,0.66,0.65,0.65,0.72,0.04,2.33,1.69,2.03,1.52,6.09
12,SOTA,multi-program,"parsec-blackscholes-simsmall-1,parsec-blackscholes-simsmall-1-sota",120.90732,51.38,66.85,50.78,66.48,56.13,0.79,1.86,0.76,1.83,5.47,0.09,0.22,0.09,0.22,0.66,0.63,0.67,0.66,0.67,0.6575,0.37,2.04,0.37,2.04,1.21,4.82
13,SOTA,multi-program,"parsec-blackscholes-simsmall-1,parsec-streamcluster-simsmall-1-sota",494.195322,48.98,52.29,48.39,74.12,53.79,0.58,0.76,0.54,2.54,4.67,0.29,0.38,0.27,1.26,2.31,0.63,0.69,0.85,0.55,0.6799999999999999,0.1,0.54,0.02,2.93,0.9,3.59
