date,config,tasks,sim. time (ns),avg resp time (ns),resp times (ns),peak power / thread (W),avg power (W),energy (J)
2026-04-03_20.37,1.0GHz+maxFreq+slowDVFS,blackscholes-simsmall-2,"122,969,000","122,969,040","122,969,040",0.25,2.87,0.35
2026-04-03_20.37,2.0GHz+maxFreq+slowDVFS,blackscholes-simsmall-2,"62,156,900","62,156,903","62,156,903",0.62,5.90,0.37
2026-04-15_22.05,1.0GHz+maxFreq+slowDVFS,blackscholes-simsmall-2,"121,509,900","121,509,922","121,509,922",0.25,2.88,0.35
2026-04-15_22.05,2.0GHz+maxFreq+slowDVFS,blackscholes-simsmall-2,"61,067,100","61,067,156","61,067,156",0.62,5.95,0.36
2026-04-15_22.57,1.0GHz+maxFreq+slowDVFS,blackscholes-simsmall-2,"122,950,500","122,950,528","122,950,528",0.25,2.87,0.35
2026-04-15_22.57,2.0GHz+maxFreq+slowDVFS,blackscholes-simsmall-2,"61,217,900","61,217,922","61,217,922",0.62,5.95,0.36
2026-04-15_23.52,1.0GHz+maxFreq+slowDVFS,blackscholes-simsmall-2,"120,244,600","120,244,675","120,244,675",0.25,2.89,0.35
2026-04-15_23.52,2.0GHz+maxFreq+slowDVFS,blackscholes-simsmall-2,"60,938,700","60,938,775","60,938,775",0.61,5.98,0.36
2026-04-20_09.04,1.0GHz+maxFreq+slowDVFS,streamcluster-simsmall-2,"546,724,400","546,724,457","546,724,457",0.26,3.29,1.80
2026-04-20_09.04,2.0GHz+maxFreq+slowDVFS,streamcluster-simsmall-2,"275,976,600","275,976,611","275,976,611",0.60,7.11,1.96
2026-04-20_10.43,1.0GHz+maxFreq+slowDVFS,streamcluster-simsmall-2,"544,497,500","544,497,553","544,497,553",0.26,3.28,1.79
2026-04-20_11.11,1.0GHz+maxFreq+slowDVFS,streamcluster-simsmall-2,"543,781,200","543,781,285","543,781,285",0.26,3.29,1.79
